PM2.5,NO,NH3,CO,SO2,O3,Benzene,AQI,AQI_Bucket
65.11,3.14,4.58,3.14,22.27,32.26,0.17,120.0,Moderate
51.03,6.24,20.47,6.24,15.5,31.44,0.0,158.0,Moderate
38.73,8.0,19.28,8.0,20.13,25.7,0.0,177.0,Moderate
61.12,9.94,17.82,9.94,39.69,25.9,0.0,201.0,Poor
58.44,10.68,17.24,10.68,54.69,18.89,0.0,211.0,Poor
61.49,11.44,16.69,11.44,42.66,18.2,0.01,221.0,Poor
65.39,12.3,16.08,12.3,27.96,22.35,0.0,233.0,Poor
100.92,20.42,18.9,20.42,31.9,22.84,4.9,481.0,Severe
97.48,5.31,30.02,5.31,36.05,16.26,10.6,352.0,Very Poor
129.27,14.28,28.33,14.28,70.13,25.4,16.9,327.0,Very Poor
129.58,21.23,28.79,21.23,17.66,34.42,20.53,577.0,Severe
100.57,7.56,18.79,7.56,38.76,38.83,4.92,411.0,Severe
130.34,7.14,17.43,7.14,52.07,29.05,5.05,212.0,Poor
53.24,8.05,15.86,8.05,36.23,21.58,5.23,280.0,Poor
42.0,10.44,18.16,10.44,17.0,25.5,0.0,162.0,Moderate
83.69,10.89,17.18,10.89,41.12,35.61,12.62,569.0,Severe
38.88,2.18,16.28,2.18,26.4,12.47,3.0,128.0,Moderate
46.89,2.96,16.17,2.96,41.96,10.74,3.41,129.0,Moderate
70.96,4.12,15.47,4.12,23.67,16.01,3.72,152.0,Moderate
53.66,4.23,14.43,4.23,14.46,45.64,2.39,176.0,Moderate
45.49,4.26,13.73,4.26,12.85,71.85,2.5,167.0,Moderate
60.86,5.27,16.61,5.27,14.91,41.19,3.03,106.0,Moderate
51.93,13.71,17.87,13.71,15.33,12.88,6.32,231.0,Poor
77.87,6.67,17.12,6.67,46.82,16.67,4.79,327.0,Very Poor
57.59,5.6,15.47,5.6,41.68,25.51,2.64,174.0,Moderate
77.22,7.02,15.47,7.02,71.97,9.56,3.74,185.0,Moderate
45.29,7.25,12.74,7.25,18.64,6.32,2.73,179.0,Moderate
103.78,6.36,13.9,6.36,7.76,15.27,0.82,211.0,Poor
25.14,6.01,18.73,6.01,38.05,38.52,0.0,192.0,Moderate
87.03,8.05,17.88,8.05,23.84,48.22,0.0,310.0,Very Poor
89.6,6.59,19.84,6.59,48.05,44.78,0.0,223.0,Poor
80.69,6.86,16.07,6.86,39.85,32.65,0.0,192.0,Moderate
44.75,7.76,16.53,7.76,9.89,8.07,0.0,191.0,Moderate
38.11,7.41,11.62,7.41,3.13,6.69,2.5,184.0,Moderate
45.5,8.56,15.59,8.56,0.76,3.82,5.09,220.0,Poor
36.98,8.21,11.52,8.21,0.52,5.17,3.63,215.0,Poor
43.58,8.26,13.33,8.26,1.02,7.56,3.59,226.0,Poor
45.49,9.63,14.91,9.63,0.81,2.94,3.67,251.0,Poor
38.06,8.67,18.57,8.67,1.05,4.63,2.85,216.0,Poor
45.41,9.35,20.55,9.35,0.74,4.5,2.83,237.0,Poor
37.71,8.54,16.26,8.54,0.87,4.6,2.52,198.0,Moderate
32.37,7.53,14.36,7.53,2.17,12.17,1.88,195.0,Moderate
34.74,7.59,13.51,7.59,4.11,12.22,1.82,187.0,Moderate
32.56,7.34,13.91,7.34,4.04,11.85,2.55,181.0,Moderate
29.28,7.55,11.68,7.55,4.01,12.64,1.64,179.0,Moderate
20.46,7.15,10.61,7.15,5.62,12.7,1.26,188.0,Moderate
26.07,7.99,11.07,7.99,4.1,10.57,1.5,190.0,Moderate
21.43,7.45,11.16,7.45,4.99,7.38,1.4,185.0,Moderate
11.91,7.34,10.1,7.34,10.86,5.47,1.3,189.0,Moderate
57.75,8.68,9.68,8.68,12.28,3.06,1.98,196.0,Moderate
66.39,8.58,12.79,8.58,11.09,4.96,1.76,201.0,Poor
62.61,9.15,9.83,9.15,12.31,6.44,1.87,231.0,Poor
47.5,8.07,9.53,8.07,13.91,7.28,1.34,196.0,Moderate
111.8,9.23,11.51,9.23,5.27,5.99,1.84,220.0,Poor
30.0,8.87,13.59,8.87,8.09,6.31,1.32,244.0,Poor
4.66,9.01,10.9,9.01,7.31,6.38,1.27,223.0,Poor
48.72,9.56,11.94,9.56,5.72,6.61,1.77,230.0,Poor
49.7,9.43,9.81,9.43,6.78,6.42,2.0,243.0,Poor
48.1,8.03,9.53,8.03,9.33,7.6,1.68,215.0,Poor
47.43,8.11,9.45,8.11,7.93,7.08,2.1,199.0,Moderate
51.74,8.91,12.38,8.91,10.05,5.78,2.15,200.0,Moderate
42.68,9.74,11.08,9.74,10.87,4.44,1.62,226.0,Poor
38.45,10.55,7.8,10.55,10.28,3.24,2.46,241.0,Poor
46.69,11.48,0.17,11.48,10.25,5.76,1.77,222.0,Poor
55.27,11.55,0.12,11.55,12.7,6.55,1.69,223.0,Poor
149.03,11.49,0.16,11.49,10.07,7.27,1.71,248.0,Poor
86.57,11.47,0.17,11.47,11.09,6.53,1.57,300.0,Poor
111.77,11.3,0.24,11.3,7.73,4.67,1.72,232.0,Poor
151.4,10.8,0.36,10.8,7.8,5.46,0.95,330.0,Very Poor
51.35,8.0,2.69,8.0,10.0,5.76,1.54,223.0,Poor
65.37,0.64,8.07,0.64,16.31,8.02,1.63,105.0,Moderate
56.28,0.6,8.02,0.6,18.93,6.2,1.52,101.0,Moderate
48.17,0.65,8.0,0.65,18.99,7.97,1.23,93.0,Satisfactory
33.56,0.72,7.89,0.72,11.28,10.18,0.61,67.0,Satisfactory
31.3,0.55,8.1,0.55,10.29,7.44,0.52,60.0,Satisfactory
57.11,0.55,8.28,0.55,14.58,2.6,2.81,90.0,Satisfactory
34.72,0.1,9.73,0.1,13.62,4.87,1.44,78.0,Satisfactory
29.22,0.06,9.57,0.06,13.58,5.08,1.37,48.0,Good
29.79,0.14,8.64,0.14,15.11,5.34,0.36,53.0,Satisfactory
59.95,0.18,8.78,0.18,11.52,2.79,0.52,91.0,Satisfactory
19.2,1.52,9.45,1.52,11.23,4.61,1.29,70.0,Satisfactory
19.52,5.89,11.26,5.89,11.56,4.4,0.58,157.0,Moderate
35.16,5.75,10.89,5.75,14.7,3.67,1.61,158.0,Moderate
33.03,7.01,10.58,7.01,12.95,3.53,1.65,169.0,Moderate
40.95,6.92,10.47,6.92,19.8,3.38,2.05,174.0,Moderate
40.29,6.74,10.52,6.74,8.27,3.57,1.85,173.0,Moderate
41.16,6.91,10.51,6.91,13.48,3.69,1.8,172.0,Moderate
36.12,7.21,11.56,7.21,13.62,6.08,1.67,190.0,Moderate
28.51,6.69,20.52,6.69,5.69,7.65,1.36,171.0,Moderate
31.59,6.99,20.42,6.99,9.23,7.9,0.72,168.0,Moderate
42.56,7.17,20.4,7.17,6.28,9.86,1.36,172.0,Moderate
48.12,7.14,20.3,7.14,6.77,12.78,1.22,173.0,Moderate
