PM2.5,NO,NH3,CO,SO2,O3,Benzene,AQI,AQI_Bucket
12.37,3.17,9.77,0.54,18.18,19.25,0.09,42.0,Good
10.63,2.43,7.78,0.46,25.19,24.48,0.09,35.0,Good
11.08,2.13,5.99,0.48,20.86,23.99,0.03,35.0,Good
12.73,2.25,5.62,0.49,17.37,25.1,0.01,38.0,Good
18.17,2.24,5.74,0.45,14.83,25.04,0.02,35.0,Good
23.78,1.98,8.07,0.49,21.65,27.22,0.11,48.0,Good
25.83,2.21,7.94,0.47,22.1,28.67,0.18,48.0,Good
27.28,2.65,9.42,0.57,19.49,28.25,0.19,48.0,Good
31.49,1.93,8.93,0.64,19.67,34.5,0.18,54.0,Satisfactory
19.45,2.41,9.54,0.58,16.2,31.44,0.11,48.0,Good
18.86,2.32,8.13,0.55,19.8,32.35,0.1,51.0,Satisfactory
15.23,2.14,7.4,0.49,25.54,28.78,0.08,43.0,Good
13.9,1.78,5.15,0.49,23.29,25.43,0.04,37.0,Good
25.49,1.46,4.19,0.48,23.0,27.87,0.05,39.0,Good
26.01,1.54,4.65,0.45,24.44,29.73,0.07,51.0,Satisfactory
17.19,1.39,4.81,0.46,20.71,28.52,0.08,47.0,Good
16.77,1.38,4.29,1.47,18.95,27.74,0.07,101.0,Moderate
23.67,1.58,4.99,0.66,18.8,29.32,0.15,108.0,Moderate
25.36,1.51,4.69,0.23,21.49,37.28,0.08,52.0,Satisfactory
25.12,1.52,4.71,0.25,22.1,43.19,0.09,61.0,Satisfactory
26.96,1.29,5.11,0.37,19.29,38.57,0.13,58.0,Satisfactory
30.36,1.45,5.2,0.37,22.14,45.51,0.11,58.0,Satisfactory
29.86,1.39,4.52,0.28,23.12,44.17,0.08,69.0,Satisfactory
34.77,1.4,5.03,0.25,25.11,40.76,0.11,69.0,Satisfactory
21.17,1.3,6.54,0.0,13.94,36.65,0.32,53.0,Satisfactory
13.72,1.4,4.58,0.0,15.56,26.1,0.05,42.0,Good
16.75,1.33,4.59,0.0,13.59,25.74,0.05,44.0,Good
18.38,1.31,4.91,0.0,14.3,27.51,0.05,47.0,Good
19.77,1.4,4.99,0.0,14.56,26.57,0.06,50.0,Good
18.62,1.48,4.5,0.0,14.12,30.13,0.06,51.0,Satisfactory
17.21,1.45,4.4,0.0,13.37,24.22,0.03,43.0,Good
13.28,1.37,4.83,0.0,12.24,25.98,0.06,40.0,Good
9.51,1.32,3.97,0.0,12.29,19.18,0.05,26.0,Good
26.8,1.35,6.22,0.0,19.3,39.46,0.08,56.0,Satisfactory
29.9,1.47,10.11,0.38,12.04,52.47,0.16,103.0,Moderate
21.15,1.51,4.87,0.52,9.79,50.76,0.02,88.0,Satisfactory
18.09,1.41,4.2,0.45,8.1,48.0,5.09,66.0,Satisfactory
16.93,1.42,3.63,0.47,7.48,40.43,6.44,57.0,Satisfactory
22.01,1.57,3.89,0.49,7.24,48.22,0.42,69.0,Satisfactory
24.22,1.39,4.33,0.5,7.19,24.36,4.9,69.0,Satisfactory
25.16,1.57,5.41,0.6,7.99,13.71,0.44,64.0,Satisfactory
20.96,1.52,5.69,0.6,10.85,17.45,0.08,70.0,Satisfactory
22.5,1.46,6.94,0.57,17.09,21.62,0.09,63.0,Satisfactory
19.96,1.42,5.43,0.55,9.11,21.51,0.05,62.0,Satisfactory
8.09,1.58,9.29,0.48,9.85,14.81,0.12,46.0,Good
12.78,1.66,9.72,0.51,6.61,18.39,0.09,41.0,Good
10.23,1.85,10.19,0.5,12.47,19.36,0.1,40.0,Good
7.89,1.76,11.09,0.54,16.74,18.72,0.05,39.0,Good
9.33,1.6,8.83,0.44,11.48,30.3,0.08,58.0,Satisfactory
10.14,1.33,7.06,0.42,12.83,35.22,0.09,44.0,Good
11.49,1.48,6.9,0.42,12.34,38.36,0.06,50.0,Good
12.19,1.62,10.16,0.44,11.95,38.42,0.1,54.0,Satisfactory
10.39,1.56,10.06,0.5,15.46,40.05,0.09,61.0,Satisfactory
10.18,8.5,15.4,0.59,13.75,40.65,0.09,58.0,Satisfactory
5.6,2.27,14.58,0.51,18.82,42.45,0.11,53.0,Satisfactory
4.7,1.66,10.03,0.53,13.34,34.37,0.08,47.0,Good
4.65,1.48,8.44,0.48,12.34,35.22,0.06,44.0,Good
11.71,1.6,8.06,0.53,16.01,39.34,0.07,47.0,Good
10.07,2.12,9.21,0.48,12.19,33.82,0.06,41.0,Good
11.61,4.88,16.7,0.5,16.28,31.19,0.09,39.0,Good
8.73,4.64,16.26,0.38,17.54,29.47,0.09,36.0,Good
11.2,3.27,12.95,0.62,17.81,31.9,0.1,42.0,Good
11.03,3.18,13.74,0.64,10.39,31.37,0.14,43.0,Good
16.99,1.52,9.48,0.55,11.19,41.25,0.11,55.0,Satisfactory
12.74,1.66,10.27,0.59,13.28,34.95,0.13,50.0,Good
17.97,2.05,12.1,0.65,11.68,30.15,0.17,46.0,Good
15.48,2.07,9.15,0.58,15.88,39.82,0.11,55.0,Satisfactory
14.88,1.86,10.59,0.59,14.04,38.01,0.13,52.0,Satisfactory
20.74,1.9,8.44,0.62,15.38,39.32,0.13,50.0,Good
10.41,1.88,7.21,0.53,15.86,25.96,0.06,37.0,Good
14.5,1.53,6.53,0.55,13.75,33.76,0.06,42.0,Good
16.65,1.43,8.32,0.66,10.86,37.34,0.1,49.0,Good
20.96,1.65,9.55,0.66,14.79,43.29,0.12,56.0,Satisfactory
21.34,1.74,10.69,0.66,14.58,45.32,0.14,61.0,Satisfactory
22.0,1.5,9.68,0.59,10.88,29.15,0.1,54.0,Satisfactory
248.12,29.93,40.11,1.08,9.66,12.32,3.47,463.0,Severe
148.47,12.04,32.77,1.17,4.9,12.08,3.47,320.0,Very Poor
194.47,13.87,35.42,1.25,5.15,10.86,3.45,338.0,Very Poor
214.73,18.8,41.72,1.17,6.44,12.38,2.9,395.0,Very Poor
71.13,19.23,40.37,1.03,4.28,11.79,2.37,229.0,Poor
126.19,27.26,46.16,1.37,5.91,13.68,2.49,239.0,Poor
133.53,18.63,41.42,1.19,4.74,20.3,3.0,318.0,Very Poor
150.33,9.42,39.46,1.13,5.8,12.62,3.24,308.0,Very Poor
165.75,15.8,39.01,1.42,5.62,13.11,2.98,338.0,Very Poor
221.93,14.34,39.44,1.3,5.2,14.02,2.91,356.0,Very Poor
147.44,15.54,39.07,1.37,4.87,10.89,2.91,341.0,Very Poor
174.03,20.75,41.44,1.45,4.39,9.84,3.0,271.0,Poor
145.27,17.83,39.11,1.11,3.59,15.1,2.83,304.0,Very Poor
129.13,14.12,32.27,1.15,4.98,14.08,2.85,314.0,Very Poor
146.53,8.45,29.28,1.31,3.88,15.18,3.71,317.0,Very Poor
144.73,16.4,37.42,1.87,7.78,12.17,10.91,318.0,Very Poor
160.69,6.89,17.91,1.79,5.13,15.85,11.55,319.0,Very Poor
140.05,51.16,42.09,1.77,5.17,20.13,4.12,321.0,Very Poor
97.78,8.32,30.81,1.9,4.39,3.93,4.39,252.0,Poor
90.68,26.51,28.37,1.89,5.71,3.71,4.25,235.0,Poor
113.0,38.56,21.98,2.13,8.28,19.28,4.78,248.0,Poor
137.47,38.12,21.68,2.0,7.71,23.6,4.8,295.0,Poor
147.97,40.1,24.95,2.27,9.16,36.54,6.34,317.0,Very Poor
151.19,59.56,29.61,1.89,8.14,31.48,4.64,328.0,Very Poor
121.54,55.74,20.89,1.8,6.0,23.6,4.15,311.0,Very Poor
89.18,54.75,5.2,1.3,4.34,24.42,3.77,234.0,Poor
38.17,46.4,13.71,0.66,7.43,23.57,3.07,128.0,Moderate
78.81,58.44,41.92,1.05,18.04,25.52,3.8,131.0,Moderate
111.37,57.05,31.94,1.4,8.03,29.84,6.75,262.0,Poor
83.0,52.17,7.07,0.97,8.07,25.07,4.35,200.0,Moderate
106.43,56.49,12.22,1.05,5.24,21.02,4.3,206.0,Poor
144.45,54.15,31.96,1.38,11.93,29.91,5.18,314.0,Very Poor
128.92,61.57,46.82,1.17,9.23,33.66,7.86,307.0,Very Poor
143.36,76.45,47.59,1.87,11.0,32.23,7.85,318.0,Very Poor
110.68,68.04,48.8,1.74,9.61,51.68,8.62,288.0,Poor
141.64,82.14,49.18,2.31,14.29,54.87,8.3,302.0,Very Poor
143.81,93.94,50.9,2.44,11.24,21.83,8.29,322.0,Very Poor
137.81,100.06,50.56,2.5,9.17,24.79,9.65,316.0,Very Poor
137.05,73.78,45.09,2.52,10.52,60.42,9.0,313.0,Very Poor
129.76,83.19,41.77,2.65,15.28,52.76,11.13,306.0,Very Poor
146.1,90.92,30.53,3.08,6.11,44.48,11.29,317.0,Very Poor
146.1,86.92,33.22,2.91,6.23,27.76,12.97,323.0,Very Poor
147.77,96.96,35.25,2.47,6.53,26.29,9.47,324.0,Very Poor
119.12,79.18,23.9,1.96,8.67,30.52,8.83,296.0,Poor
130.16,66.72,14.57,2.31,6.87,19.05,9.79,309.0,Very Poor
108.22,47.23,7.36,1.48,4.54,18.64,5.09,266.0,Poor
92.93,47.7,3.08,1.39,3.69,18.47,4.94,227.0,Poor
106.08,19.15,49.15,2.41,10.52,24.02,5.45,185.0,Moderate
131.98,31.82,20.28,2.83,15.63,23.9,9.68,298.0,Poor
117.47,38.13,19.17,2.15,6.8,20.97,12.27,304.0,Very Poor
102.19,33.67,18.62,3.83,7.07,19.06,9.15,277.0,Poor
44.98,25.9,13.03,3.75,9.09,17.91,3.94,162.0,Moderate
53.43,25.21,10.07,2.82,4.37,19.16,2.59,127.0,Moderate
66.28,24.35,16.09,1.7,4.5,16.98,3.31,116.0,Moderate
58.41,23.33,16.29,0.86,6.69,17.61,5.8,126.0,Moderate
87.22,20.54,42.63,0.96,12.91,24.44,16.18,227.0,Poor
56.46,5.73,25.53,1.53,2.98,24.89,4.8,143.0,Moderate
72.21,6.3,26.12,2.16,3.34,25.49,4.92,122.0,Moderate
96.33,7.72,28.36,1.71,3.36,21.55,5.7,197.0,Moderate
112.36,8.0,28.77,1.41,3.31,20.73,7.2,235.0,Poor
148.9,7.08,28.1,1.22,2.86,19.3,10.16,315.0,Very Poor
177.53,8.73,28.78,1.37,3.44,23.38,7.56,335.0,Very Poor
101.19,5.98,26.62,1.24,5.94,23.25,5.23,298.0,Poor
100.84,5.9,27.47,1.63,3.94,23.1,8.05,233.0,Poor
133.75,6.72,28.81,2.0,3.58,19.5,8.93,283.0,Poor
158.06,8.56,30.4,2.11,3.77,19.09,10.6,321.0,Very Poor
161.69,7.82,30.43,1.7,2.9,18.68,5.76,331.0,Very Poor
149.97,9.53,31.25,1.74,3.12,18.93,5.17,331.0,Very Poor
87.04,7.47,29.9,1.42,3.54,18.71,4.76,232.0,Poor
103.52,7.5,78.17,1.66,3.32,19.76,6.81,237.0,Poor
124.02,23.65,94.18,1.92,5.71,20.39,9.63,310.0,Very Poor
66.92,17.36,86.72,1.36,3.24,23.5,8.01,170.0,Moderate
77.72,7.18,79.22,1.44,10.0,23.22,13.14,152.0,Moderate
77.71,5.23,77.4,1.25,3.27,19.23,6.07,144.0,Moderate
73.58,5.84,78.11,1.2,5.07,19.1,4.96,165.0,Moderate
61.57,5.4,77.61,1.23,3.64,20.29,4.7,126.0,Moderate
70.31,5.62,76.93,1.24,3.89,21.19,7.51,129.0,Moderate
74.04,6.29,76.91,1.2,3.09,22.55,7.6,149.0,Moderate
58.91,5.36,77.1,1.1,2.76,19.82,5.69,125.0,Moderate
58.9,6.49,78.77,0.82,3.24,17.78,4.59,123.0,Moderate
26.86,6.99,78.52,0.68,3.05,18.36,4.96,115.0,Moderate
62.55,7.44,79.24,1.98,3.1,17.4,4.21,127.0,Moderate
57.51,7.2,79.01,1.26,2.5,17.71,4.53,118.0,Moderate
70.09,15.42,60.24,1.04,5.11,17.25,5.34,132.0,Moderate
53.67,79.13,34.3,0.92,4.04,13.69,10.26,124.0,Moderate
45.61,56.09,45.86,0.94,3.4,15.74,10.4,127.0,Moderate
61.12,72.13,47.57,0.92,3.52,13.38,12.7,142.0,Moderate
56.96,71.85,53.42,0.92,2.97,13.15,12.27,150.0,Moderate
44.39,72.97,54.79,0.94,3.48,13.89,12.84,159.0,Moderate
31.79,66.62,59.83,0.82,2.56,13.11,11.53,149.0,Moderate
55.78,70.91,65.5,0.77,2.79,14.2,13.55,168.0,Moderate
50.4,57.49,70.81,0.66,2.66,14.0,11.04,165.0,Moderate
58.71,43.49,57.73,0.64,3.22,17.08,10.47,152.0,Moderate
48.6,28.66,49.52,0.63,2.82,13.82,11.9,130.0,Moderate
59.76,22.63,42.42,0.64,4.03,16.12,10.06,130.0,Moderate
67.11,18.92,49.05,0.61,3.38,14.43,11.24,141.0,Moderate
69.65,16.51,49.28,0.64,7.24,18.68,10.41,138.0,Moderate
67.14,30.58,61.48,0.63,4.55,19.32,11.45,145.0,Moderate
58.38,17.58,48.94,0.59,5.85,12.41,10.52,147.0,Moderate
48.16,12.79,35.24,0.52,2.83,12.54,8.39,123.0,Moderate
16.26,12.77,28.35,0.44,2.75,12.28,8.89,66.0,Satisfactory
15.91,16.37,33.5,0.53,2.63,11.79,9.27,58.0,Satisfactory
31.96,14.59,33.41,0.59,2.68,12.86,9.79,77.0,Satisfactory
68.32,18.6,30.42,1.53,5.1,12.65,9.66,129.0,Moderate
41.54,15.39,9.04,0.76,2.93,16.54,9.73,137.0,Moderate
53.44,15.28,11.58,0.72,3.1,15.95,9.86,133.0,Moderate
52.41,15.9,13.27,0.71,3.54,16.97,10.46,139.0,Moderate
69.46,16.51,13.13,0.66,3.72,12.89,11.28,162.0,Moderate
54.32,14.04,9.71,0.67,4.71,17.76,9.99,154.0,Moderate
43.14,14.65,10.2,0.61,4.93,16.89,9.66,124.0,Moderate
52.39,18.45,13.52,0.61,4.66,17.32,11.44,123.0,Moderate
29.75,16.36,10.8,0.54,4.14,17.81,10.52,114.0,Moderate
58.6,15.83,9.93,0.55,4.14,18.36,11.46,119.0,Moderate
57.97,15.54,9.32,0.47,3.58,17.94,11.71,133.0,Moderate
46.84,16.33,9.46,0.56,3.83,16.46,12.02,132.0,Moderate
16.77,14.4,7.56,0.62,3.5,17.53,9.62,79.0,Satisfactory
25.72,16.06,8.99,0.65,3.55,17.96,11.16,73.0,Satisfactory
19.79,16.75,9.64,0.74,4.36,18.93,10.36,64.0,Satisfactory
31.52,12.38,6.09,0.71,3.46,23.99,9.89,69.0,Satisfactory
47.8,10.74,4.86,0.63,2.86,25.36,8.82,73.0,Satisfactory
58.97,10.96,9.45,0.69,3.85,18.99,7.39,133.0,Moderate
51.79,11.78,10.5,0.75,3.92,17.81,6.29,132.0,Moderate
29.06,11.67,9.14,0.69,3.55,18.23,5.16,112.0,Moderate
28.63,12.54,9.03,0.69,3.71,26.84,4.03,91.0,Satisfactory
42.29,12.7,9.54,0.64,3.72,30.89,4.91,110.0,Moderate
48.66,12.38,8.7,0.57,8.52,31.15,4.89,128.0,Moderate
54.53,11.78,8.0,0.88,3.55,29.18,5.07,140.0,Moderate
40.21,11.93,8.52,0.92,3.09,31.63,4.12,125.0,Moderate
27.42,14.66,6.89,1.31,3.42,34.72,3.47,119.0,Moderate
20.92,15.02,13.74,0.78,6.25,40.85,3.52,88.0,Satisfactory
30.1,13.61,14.15,0.76,1.95,37.46,3.8,93.0,Satisfactory
43.88,13.38,15.46,0.89,2.35,34.26,4.61,112.0,Moderate
44.86,11.95,14.56,0.84,2.63,36.17,3.65,138.0,Moderate
56.47,13.78,12.76,0.75,2.59,23.55,4.01,124.0,Moderate
20.96,13.85,4.88,0.84,2.72,29.63,4.18,106.0,Moderate
15.44,13.73,4.94,0.86,2.45,29.02,4.28,72.0,Satisfactory
92.14,12.58,8.35,0.63,5.91,41.86,0.99,167.0,Moderate
84.74,12.55,8.41,0.66,5.46,38.02,1.0,206.0,Poor
72.32,12.54,8.25,0.59,5.99,35.54,0.91,149.0,Moderate
67.71,12.56,8.47,0.69,5.01,38.8,0.84,131.0,Moderate
74.3,12.55,8.61,0.61,5.77,38.82,0.76,127.0,Moderate
104.43,12.52,8.4,0.63,5.03,40.73,0.84,252.0,Poor
52.81,12.51,8.31,0.58,5.9,42.01,0.77,134.0,Moderate
51.88,12.53,8.33,0.63,5.56,41.07,0.79,102.0,Moderate
62.72,12.59,8.56,0.58,6.65,41.84,0.94,114.0,Moderate
74.08,12.63,8.34,0.53,5.85,42.98,0.97,132.0,Moderate
72.53,12.63,8.3,0.48,5.72,42.48,0.74,134.0,Moderate
108.07,12.63,8.24,0.97,7.2,40.83,0.86,225.0,Poor
74.32,12.62,8.36,0.98,6.52,44.43,0.83,196.0,Moderate
66.86,12.53,8.69,0.74,6.42,41.35,0.8,113.0,Moderate
75.49,12.34,22.51,0.92,5.16,34.32,0.88,130.0,Moderate
99.15,0.4,8.55,1.56,6.51,23.58,0.75,254.0,Poor
48.66,1.42,8.57,1.26,6.14,20.8,0.6,200.0,Moderate
67.25,0.76,8.4,1.24,6.23,23.36,0.58,164.0,Moderate
61.84,5.32,9.97,1.8,6.29,33.48,0.52,174.0,Moderate
59.22,12.27,9.6,1.23,3.13,38.93,0.6,164.0,Moderate
54.7,57.62,29.71,2.1,6.52,32.46,0.92,148.0,Moderate
29.87,25.06,6.05,0.75,11.15,28.03,0.53,133.0,Moderate
83.88,33.85,13.99,2.82,7.38,34.24,1.04,221.0,Poor
39.78,23.1,15.08,0.0,7.19,46.14,0.73,154.0,Moderate
21.99,10.88,16.14,1.34,12.55,24.31,0.58,86.0,Satisfactory
57.96,8.37,9.12,0.16,10.6,37.0,1.08,101.0,Moderate
51.58,11.37,9.3,0.18,7.1,40.35,1.05,107.0,Moderate
41.99,11.28,9.2,0.46,6.03,38.63,0.82,95.0,Satisfactory
43.36,11.31,9.17,0.15,9.03,38.7,0.65,93.0,Satisfactory
52.64,8.86,10.8,0.23,7.33,25.46,0.71,88.0,Satisfactory
28.48,9.4,10.06,0.47,7.25,30.39,0.63,81.0,Satisfactory
28.43,9.81,9.41,0.0,3.1,29.37,2.58,49.0,Good
22.09,10.07,9.35,0.0,2.67,34.97,1.92,49.0,Good
24.9,10.48,8.82,0.0,3.84,40.09,1.33,55.0,Satisfactory
26.85,10.29,8.06,0.41,9.02,27.54,2.02,67.0,Satisfactory
27.89,9.6,5.99,0.42,6.07,30.64,2.21,64.0,Satisfactory
25.89,9.36,6.06,0.34,3.75,34.04,1.76,54.0,Satisfactory
23.24,9.38,6.02,0.36,4.05,39.98,1.54,50.0,Good
24.15,10.29,5.21,0.37,3.71,38.48,1.16,74.0,Satisfactory
28.38,10.73,4.85,0.37,3.45,31.95,1.54,54.0,Satisfactory
14.82,10.62,4.83,0.13,3.45,27.37,0.93,50.0,Good
19.92,13.48,12.06,1.01,8.09,32.38,2.35,42.0,Good
41.99,23.68,29.28,0.01,5.58,18.68,13.33,115.0,Moderate
59.95,31.6,29.53,0.0,5.17,18.41,15.45,145.0,Moderate
48.96,25.22,23.73,0.0,6.21,22.47,12.74,137.0,Moderate
61.79,25.79,24.41,0.01,6.63,21.24,12.82,152.0,Moderate
37.17,35.32,26.8,0.0,6.35,20.92,13.54,119.0,Moderate
42.12,31.86,27.04,0.01,6.02,22.48,18.73,107.0,Moderate
48.55,31.37,26.26,0.0,5.78,25.03,10.51,124.0,Moderate
45.78,33.67,28.65,0.0,5.84,15.61,15.23,122.0,Moderate
57.31,31.74,26.18,0.02,5.98,21.27,14.68,138.0,Moderate
57.94,23.42,20.66,0.0,6.3,24.7,12.43,144.0,Moderate
49.3,27.24,22.59,0.01,6.08,21.03,13.24,140.0,Moderate
116.63,23.71,21.4,0.0,6.32,19.98,13.12,251.0,Poor
33.74,20.17,21.19,0.01,6.0,15.41,8.35,137.0,Moderate
48.76,22.89,27.79,0.0,6.47,14.1,7.09,112.0,Moderate
27.22,29.63,32.62,0.0,5.88,11.15,2.19,124.0,Moderate
73.92,34.67,43.28,0.32,19.13,11.34,11.65,146.0,Moderate
96.85,29.06,32.62,1.13,9.91,30.02,4.68,237.0,Poor
60.41,32.1,38.15,0.81,3.2,27.13,5.89,124.0,Moderate
54.89,33.43,38.02,0.01,3.8,26.42,6.97,114.0,Moderate
62.42,30.03,34.95,0.0,3.59,22.36,6.25,158.0,Moderate
33.74,29.16,37.24,0.0,2.31,17.17,6.32,120.0,Moderate
48.16,21.63,29.8,0.01,8.56,24.92,6.41,117.0,Moderate
52.3,18.8,27.98,0.01,0.71,19.59,5.43,125.0,Moderate
93.43,19.47,28.7,0.01,5.36,14.99,5.65,140.0,Moderate
112.18,26.15,34.1,0.0,6.94,11.73,8.95,306.0,Very Poor
63.86,24.13,33.08,0.01,4.71,16.83,7.99,135.0,Moderate
65.15,26.81,33.27,0.01,3.23,21.4,6.16,130.0,Moderate
62.87,25.09,31.37,0.0,7.56,20.76,5.99,135.0,Moderate
62.95,29.56,36.7,0.01,5.91,16.61,6.47,125.0,Moderate
53.8,28.33,33.28,0.01,9.49,23.99,6.18,101.0,Moderate
76.21,21.75,26.18,0.02,7.11,23.88,4.83,115.0,Moderate
61.69,27.29,33.08,0.01,4.06,19.18,5.55,127.0,Moderate
69.19,34.65,37.59,0.01,6.2,16.57,6.52,131.0,Moderate
54.54,36.59,41.71,0.01,3.5,14.76,6.15,131.0,Moderate
23.84,35.43,40.65,0.01,3.75,15.1,7.13,94.0,Satisfactory
34.41,32.68,39.35,0.01,0.87,14.24,8.47,91.0,Satisfactory
43.93,25.34,30.82,0.02,6.34,16.43,6.22,99.0,Satisfactory
61.91,24.94,31.59,0.02,4.16,15.63,6.76,118.0,Moderate
72.97,30.79,35.39,0.01,4.08,13.45,6.28,138.0,Moderate
81.51,35.66,37.44,0.01,2.73,15.76,6.88,160.0,Moderate
56.93,33.91,35.26,0.02,4.48,15.72,12.51,143.0,Moderate
62.09,30.94,29.75,0.02,2.4,16.41,7.86,126.0,Moderate
64.23,24.99,22.13,0.01,2.07,9.64,7.54,149.0,Moderate
74.91,23.65,24.35,0.01,1.32,10.14,7.1,144.0,Moderate
72.08,26.59,27.11,0.01,1.97,9.16,11.8,154.0,Moderate
70.27,25.57,27.48,0.01,4.17,4.93,6.92,131.0,Moderate
78.42,31.71,33.79,0.05,2.98,5.43,9.62,184.0,Moderate
92.38,21.66,21.67,0.17,2.87,9.65,10.0,170.0,Moderate
77.42,38.64,19.65,0.05,3.41,6.05,5.49,176.0,Moderate
45.44,31.86,27.8,0.01,3.54,5.79,6.53,131.0,Moderate
34.45,30.01,32.28,0.0,3.49,5.19,6.94,81.0,Satisfactory
28.29,26.76,29.28,0.0,2.33,5.0,7.48,77.0,Satisfactory
14.54,27.74,31.28,0.0,1.61,5.47,7.69,70.0,Satisfactory
24.39,25.4,27.86,0.0,1.83,5.24,6.69,69.0,Satisfactory
27.89,22.75,25.9,0.02,2.92,8.92,6.38,64.0,Satisfactory
37.34,16.81,21.51,0.04,3.2,9.01,5.14,75.0,Satisfactory
45.99,19.81,25.32,0.03,2.85,8.68,6.08,98.0,Satisfactory
69.5,25.14,28.99,0.0,3.76,4.87,5.05,101.0,Moderate
52.22,22.07,24.15,0.0,3.48,8.24,5.84,118.0,Moderate
27.56,33.82,36.82,0.0,2.83,5.6,7.21,83.0,Satisfactory
41.63,14.03,18.15,0.01,4.66,16.8,2.56,132.0,Moderate
72.66,16.61,19.13,0.01,7.15,12.12,3.44,121.0,Moderate
47.29,19.34,16.36,0.01,3.85,9.04,2.93,119.0,Moderate
21.95,13.04,15.49,0.01,10.4,26.48,4.12,85.0,Satisfactory
35.6,6.31,13.73,0.36,2.58,23.62,3.62,74.0,Satisfactory
37.63,11.26,10.68,0.67,2.35,27.01,2.14,85.0,Satisfactory
38.35,14.47,16.64,0.5,51.84,33.26,3.74,109.0,Moderate
30.74,14.47,16.64,0.89,62.24,37.59,3.24,97.0,Satisfactory
43.75,34.72,28.21,0.87,36.35,30.69,3.87,97.0,Satisfactory
74.98,103.44,69.8,0.94,7.94,33.14,4.78,114.0,Moderate
59.63,33.67,64.12,1.03,14.18,27.67,5.02,147.0,Moderate
65.93,33.11,38.61,0.97,45.27,29.9,6.59,119.0,Moderate
54.21,73.43,72.44,1.29,67.26,29.01,4.83,120.0,Moderate
84.41,24.93,29.71,0.83,32.97,27.53,5.9,147.0,Moderate
97.06,40.72,31.61,0.96,14.65,33.36,3.95,198.0,Moderate
93.87,13.96,15.08,1.07,27.27,19.58,4.58,244.0,Poor
37.95,22.15,18.64,0.79,26.86,20.99,4.89,116.0,Moderate
90.72,10.98,12.11,1.03,26.99,19.67,5.46,174.0,Moderate
36.44,12.05,10.57,0.82,4.84,25.14,4.05,99.0,Satisfactory
69.3,12.01,9.09,0.8,26.79,19.53,4.88,112.0,Moderate
34.17,71.16,39.57,0.66,11.66,18.37,3.76,101.0,Moderate
38.31,20.38,14.91,0.73,16.1,12.17,4.09,99.0,Satisfactory
31.87,15.01,9.74,1.06,20.38,19.92,3.72,76.0,Satisfactory
49.54,14.5,9.31,0.9,22.3,26.86,4.09,100.0,Satisfactory
37.44,13.83,10.04,0.84,13.1,26.11,3.22,102.0,Moderate
46.62,33.16,30.3,0.76,23.13,25.32,3.44,90.0,Satisfactory
58.24,61.77,47.67,1.09,25.23,26.95,4.66,106.0,Moderate
38.7,73.32,63.38,0.76,12.84,19.33,3.53,108.0,Moderate
26.47,15.67,11.18,0.91,17.6,20.92,3.16,79.0,Satisfactory
22.15,13.77,8.36,0.89,16.45,25.08,3.14,71.0,Satisfactory
34.8,14.26,8.64,1.0,17.25,25.44,4.38,77.0,Satisfactory
32.11,18.58,13.58,0.99,15.4,25.75,3.86,77.0,Satisfactory
38.02,34.12,32.18,0.86,25.47,26.91,4.16,81.0,Satisfactory
43.03,28.09,22.68,1.42,24.33,26.36,5.25,100.0,Satisfactory
57.3,45.29,27.38,0.94,33.42,30.14,6.64,123.0,Moderate
55.89,32.08,20.02,1.19,21.88,31.89,6.19,122.0,Moderate
58.44,23.22,13.55,0.84,25.04,31.93,6.41,121.0,Moderate
49.65,17.6,11.27,1.2,19.91,22.67,6.29,124.0,Moderate
63.82,17.18,10.54,0.39,14.4,24.17,6.36,135.0,Moderate
38.14,14.94,7.91,0.58,6.54,31.2,3.88,148.0,Moderate
51.45,16.52,9.43,0.68,16.63,27.17,4.76,104.0,Moderate
46.72,18.38,9.22,0.53,12.95,40.67,4.4,103.0,Moderate
35.52,16.51,9.41,0.7,22.39,38.58,3.81,79.0,Satisfactory
39.76,14.99,9.65,0.86,19.92,28.88,5.35,90.0,Satisfactory
39.17,16.07,10.66,1.09,20.21,25.17,4.65,94.0,Satisfactory
34.67,17.29,10.5,0.73,21.96,31.75,5.31,98.0,Satisfactory
50.27,53.67,22.83,0.69,22.77,24.11,5.44,113.0,Moderate
52.25,24.07,13.75,0.62,9.37,30.66,3.58,122.0,Moderate
40.12,15.33,11.14,0.55,15.21,30.7,3.24,101.0,Moderate
41.37,12.73,10.38,0.61,35.25,32.36,3.22,98.0,Satisfactory
71.78,16.8,11.13,1.17,33.19,19.86,6.78,126.0,Moderate
44.71,13.34,10.76,0.79,9.81,26.84,4.48,106.0,Moderate
62.47,16.54,11.16,0.78,9.02,22.76,4.23,104.0,Moderate
52.47,16.64,9.73,0.56,5.29,23.74,3.01,91.0,Satisfactory
55.22,11.61,8.66,0.76,18.32,24.29,3.52,153.0,Moderate
31.45,12.1,8.29,0.84,6.59,19.06,3.77,121.0,Moderate
22.63,21.12,11.89,1.01,13.58,23.74,4.25,81.0,Satisfactory
30.66,31.34,16.42,0.77,13.33,25.78,5.12,94.0,Satisfactory
30.83,14.72,8.14,0.75,12.05,18.98,5.03,100.0,Satisfactory
20.91,13.98,8.09,0.77,9.28,9.78,4.81,96.0,Satisfactory
16.57,13.54,7.71,0.59,6.39,15.03,3.47,65.0,Satisfactory
